0,建设	工程	承包	单位	建设	单位	提交	工程	竣工	验收	报告	时	建设	单位	出具	质量	保修书
0,四	飞翔	公司	收到	工程	结算	未	提出	异议	应视	认可	飞翔	公司	应	支付	拖欠	工程款
0,原	被告	2008年	4月	8日	先行	签订	二	标段	建设	工程	施工	承包	补充	协议书	此后	才	二	标段	招投标	程序	2008年	7月	4日	原告	发送	二	标段	中标	通知书	2008年	7月	20日	才	签订	用于	备案	二	标段	建设	工程施工	合同
0,3	被告	合同	约定	支付	工程	价款	原告	诉讼	请求	法庭	支持
0,依据	当事人	确认	工程	造价	审核	定案表	文件	认定	应付	工程款	350945117.71	元
0,本院	案涉	工程	造价	鉴定	机构
0,原告	诉请	28860744	元	工程款	诉争	工程	折价	拍卖	所得	价款	优先	受偿	中华人民共和国	合同法	第二百八十六	条	发包人	未	约定	支付	价款	承包人	催告	发包人	期限	内	支付	价款
0,被告	大庆	建筑	安装	集团	有限	责任	公司	苏州	分公司	判决	生效	后	十	日	内	支付	原告	邬毅	工程款	人民币	860	616.27	元
0,680000
0,泰诚	公司	本案	中	再次	2015年	10月	1日	2016年	3月	31日	期间	停工	损失	不予	支持
0,17	栋	第13	层
0,工程	主体	封顶	后	7	日	内	返还
0,1	繁宝	公司	支付	延期	交房	违约金	60万	元	上海市	建设	工程	施工	投标	标书	情况	汇总表	第4	条	工程	总	造价	7	009	179	元	每日	万分之二	计算	2012年	4月	8日	算	钱国	木业	公司	车间	二	门卫室	时间	2013年	7月	18日	止
0,6	工程	竣工	验收	后	7	工作日	内	甲方	支付	30万	元	工程款	乙方
0,第一	份	机打	建设	工程	施工	合同	约定	竣工	日期	应	视为	已	调整	原	被告	第一	份	机打	建设	工程	施工	合同	内容	无	异议	证据	自认	规则	本院	予以	确认
0,3	4	5	楼	工程	质量	竣工	验收	结论	均	合格
0,二期	用地	清理费	10万	元	富成	公司	建工	五建	公司	签订	合同	专用	条款	9.1	约定	承包人	交工	前	工完场	清	未	约定	承包方	施工	废料	清离	施工	现场	后	再	运	弃置	地点
0,7	车间	西侧	北	大门	水泥	坡道	门卫室	二	车间	之间	水泥	坡道	钢板	供	铲车	通行
1,第五	被告	提出	工程	质量	拒付	工程款	理由	成立
0,3	不	包括	地面	道路	场地	水泥	地面
1,本案	中原	被告	签订	建设	工程	施工	合同	无效	原告	承建	涉案	工程	主体	鉴定	厂房	跨度	钢柱	长	细	不	成	正比	钢架柱	梁抗压	抗	弯承	载力	未	设计	质量	原告	请求	合同	约定	支付	承建	期间	工程	进度	款	200万	元	事实	法律	依据	本院	不予	支持
0,宣读	份	询问	笔录	略
0,95	181	105.52	元
0,北京	安泰	信	达	消防	工程	有限公司	鸡西	分公司	分	六	次	收到	鸡西市	第一	中学校	支付	210万	元	工程款
0,崔国茂	2015.1	14
0,2	国神华	公司	应否	南通	二建	公司	返还	履约	保证金	支付	利息	违约金
0,申请	支付	金额	85%
0,时间	合同	准
0,原告	支付	各项	税费	不	纳入	工程款	本案	工程款	总价	应	认定	7	185	558.61	元
0,证据	19	原告	证据	真实性	合法性	关联性	无	异议	本院	证明	效力
0,07	08	006	号	道路	钢筋	工程	签证	计量	报	审表	中	道路	面积	现场	面积	大	主	厂房	道路	工程	两	次	施工
0,建设	工程	施工	合同	补充	协议	约定	石门	城建	房产	公司	暂	扣	工程	总	价款	5%	925511.65	元	18510233	元	5%	质量	保修金	保修期	满	年	后	再	一次性	予以	支付	石门	城建	房产	公司	应	邓文年	支付	工程	价款	17584721.35	元	18510233	元	925511.65	元	加上	石门	城建	房产	公司	认可	应	邓文年	支付	地下室	施工	损失	补偿	20000	元	扣除	石门	城建	房产	公司	已	邓文年	支付	工程款	14231580	元	石门	城建	房产	公司	还	应	邓文年	支付	工程款	3373141.35	元	17584721.35	元	20000	元	14231580	元
1,讼争	工程	尚未	竣工	验收	被告	幼儿园	已	占有	讼争	工程	人民	法院	审理	建设	工程	施工	合同	纠纷	案件	法律	解释	第十三	条	建设	工程	未经	竣工	验收	发包人	擅自	后	质量	不	符合	约定	为由	权利	不予	支持	应	认定	被告	认可	建设	工程	质量	合格	自愿	承担	质量	瑕疵
0,审核	代付款	工程	签证	单	均	道隧	公司	五台	工业园	管委会	盖章	确认
0,2014年	7月	3日	建设	工程施工	承包合同	合同	相	对方	系瑞信	公司	吉运	公司	瑞信	公司	吉运	公司	不	认可	挂靠	关系	本院	认定	瑞信	公司	涉案	工程	发包	吉运	公司	吉运	公司	陆坊	小镇	工程	后	工程	分包	原告	原告	不	具备	相关	建设	工程	施工	资质	吉运	公司	原告	之间	系	违法	分包	关系
0,前	款	列	影响	中标	中标	无效	违反	承包人	再次	承包	工程	转包	承包人	具备	建筑	资质
0,20110512
0,被告	欠付	原告	工程款	1284781.83	元
0,quot	当事人	约定	履行	义务
